commit	val_bpb	memory_gb	status	description
1887179	1.148115	11.4	discard	VE gate channels 32->64 (worse val_bpb vs best 3b82faa 1.092322)
dcc2708	1.145325	11.4	discard	logits softcap 15->14 (worse val_bpb vs best 3b82faa 1.092322)
53c35c4	1.099640	11.4	discard	EMBEDDING_LR 0.75->0.725 (worse vs best 3b82faa 1.092322)
37f6a81	1.187064	11.1	discard	disable value embeddings has_ve=False (worse vs best 3b82faa 1.092322)
11bcfd3	1.145929	11.4	discard	EMBEDDING_LR 0.75->0.732 (worse val_bpb vs best 3b82faa 1.092322)
b19d31e	1.147125	11.4	discard	RoPE base 10000->10200 + GPTConfig.rope_base (worse vs best 3b82faa 1.092322)
4dbe0a5	1.138585	11.4	discard	MATRIX_LR 0.04->0.039 (worse val_bpb vs best 3b82faa 1.092322)
061dd88	1.104531	11.4	discard	WEIGHT_DECAY 0.2->0.21 (worse val_bpb vs best 3b82faa 1.092322)
0cca68e	1.098928	11.4	discard	SCALAR_LR 0.5->0.45 (worse val_bpb vs best 3b82faa 1.092322)
91111de	1.106076	11.4	discard	Muon ns_steps 5->6 (worse val_bpb vs best 3b82faa 1.092322)
2f679a8	1.144911	11.4	discard	EMBEDDING_LR 0.75->0.749 (worse val_bpb vs best 3b82faa 1.092322)
881b7de	1.135308	11.4	discard	PaLM z-loss 1e-4 on train CE (worse val_bpb vs best 3b82faa 1.092322)
da8dba7	1.134842	11.4	discard	PaLM z-loss 2e-5 on train CE (worse val_bpb vs best 3b82faa 1.092322)
88ce042	1.106016	11.4	discard	SCALAR_LR 0.5->0.52 (worse val_bpb vs best 3b82faa 1.092322)
fe11b65	1.142139	11.4	discard	EMBEDDING_LR 0.75->0.751 (worse val_bpb vs best 3b82faa 1.092322)
906c0f8	1.142035	11.4	discard	logits softcap 15->16 (worse vs best 3b82faa 1.092322)
466e644	1.142035	11.4	discard	WARMDOWN_RATIO 0.5->0.52 (worse vs best 3b82faa; run had short step count)
4767d14	1.144435	11.4	discard	WEIGHT_DECAY 0.2->0.195 (worse vs best; ~252 steps, buggy wall-clock dt)
8a38bbd	1.144435	11.4	keep	perf_counter step timing (full 300s budget; ~252 steps on this GPU vs faster ref in tsv)
2a9bbde	1.087996	11.4	keep	VE gate channels 32->40 (beats tsv best 1.092322; ~352 steps this run)
d1aa769	1.087667	11.4	keep	VE gate channels 40->44 (lower val_bpb vs 2a9bbde)
a6a6160	1.087888	11.4	discard	EMBEDDING_LR 0.75->0.73 (worse val_bpb vs d1aa769 1.087667)
e2033fc	1.087722	11.4	discard	VE gate channels 44->46 (worse val_bpb vs d1aa769 1.087667)
87faa61	1.084914	11.4	keep	SCALAR_LR 0.5->0.45 (improved val_bpb vs d1aa769 1.087667; VE gate 44)
d68fd5a	1.089778	11.4	discard	SCALAR_LR 0.45->0.42 (worse val_bpb vs 87faa61 1.084914)
e745a13	1.089778	11.4	discard	SCALAR_LR 0.45->0.43 (worse val_bpb vs 87faa61 1.084914; ~347 steps)
0eaecb5	1.162325	11.4	discard	SCALAR_LR 0.45->0.47 (much worse val_bpb vs 87faa61 1.084914)
1d1e6d6	1.162325	11.4	discard	UNEMBEDDING_LR 0.004->0.0038 (worse val_bpb vs 87faa61; run had ~198 steps/300s vs ~350 ref, noisy throughput)
384a4eb	1.194496	11.4	discard	EMBEDDING_LR 0.75->0.748 (worse val_bpb vs best 87faa61 1.084914; ~171 steps/300s this GPU)
b04dd2b	1.091460	11.4	discard	SCALAR_LR 0.45->0.452 (worse val_bpb vs best 87faa61 1.084914)
72c7283	1.140012	11.4	discard	EMBEDDING_LR 0.75->0.751 (worse val_bpb vs best 87faa61 1.084914)
08acbfd	1.096609	11.6	discard	MLP ReLU^2 -> SwiGLU hidden~8d/3 (worse val_bpb vs 87faa61 1.084914)
670ee2c	1.091565	11.4	discard	Adam beta2 0.95->0.94 (worse val_bpb vs 87faa61 1.084914)
f0b59d9	1.090993	11.4	discard	WARMDOWN_RATIO 0.5->0.45 (worse val_bpb vs 87faa61 1.084914)
441ff28	1.090813	11.4	discard	Muon late momentum 0.95->0.96 (worse vs best 87faa61 1.084914)
c44078b	1.091324	11.4	discard	VE gate input channels 44->43 (worse vs best 87faa61 1.084914)
c82b275	1.090455	11.4	discard	MATRIX_LR 0.04->0.0405 (worse val_bpb vs 87faa61 1.084914)
6d211fa	1.088248	11.4	discard	Muon early momentum 0.85->0.84 (worse val_bpb vs 87faa61 1.084914)
065b5eb	1.087939	11.4	discard	MATRIX_LR 0.04->0.0398 (worse val_bpb vs best 87faa61 1.084914)
b7dfba2	1.087785	11.4	discard	EMBEDDING_LR 0.75->0.752 (worse val_bpb vs best 87faa61 1.084914)
f0bd434	1.093885	11.4	discard	x0_lambdas init 0.1->0.105 (worse val_bpb vs best 87faa61 1.084914)
d43eb89	1.088104	11.4	discard	MATRIX_LR 0.04->0.04025 (worse val_bpb vs best 87faa61 1.084914)
818cfa4	1.088104	11.4	discard	WARMUP_RATIO 0->0.02 (worse val_bpb vs best 87faa61 1.084914; ~351 steps)
8e910e2	1.087877	11.4	discard	Muon early momentum 0.85->0.852 (worse val_bpb vs best 87faa61 1.084914)
589ab12	1.087447	11.4	discard	UNEMBEDDING_LR 0.004->0.00415 (worse val_bpb vs best 87faa61 1.084914)
b8a1ad1	1.089626	11.4	discard	Muon momentum ramp 300->280 steps (worse val_bpb vs best 87faa61 1.084914)
28643bc	1.707920	11.4	discard	Muon momentum ramp 300->400 steps (worse val_bpb vs 87faa61; ~45 steps/300s this run)
9c57076	1.090913	11.4	discard	Adam beta1 0.8->0.797 (worse val_bpb vs 87faa61 1.084914)
7a551e3	1.702103	11.4	discard	VE gate channels 44->45 (worse vs 87faa61; ~45 slow steps/300s same artifact as 28643bc)
1e1e957	1.090037	11.4	discard	UNEMBEDDING_LR 0.004->0.00405 (worse val_bpb vs best 87faa61 1.084914)
609db0c	1.087898	11.4	discard	SCALAR_LR 0.45->0.448 micro-tune (worse val_bpb vs best 87faa61 1.084914)
6a56c1e	1.087752	11.4	discard	Muon momentum ramp denominator 300->310 (worse val_bpb vs best 87faa61 1.084914)
391a098	1.087960	11.4	discard	Muon momentum ramp denominator 300->295 (worse val_bpb vs best 87faa61 1.084914)
3809046	1.088282	11.4	discard	logits softcap 15->15.5 (worse val_bpb vs best 87faa61 1.084914; ~353 steps)
d42c07e	1.092218	11.4	discard	lm_head init std 0.001->0.0008 (worse val_bpb vs best 87faa61 1.084914)
4870233	1.088100	11.4	discard	MATRIX_LR 0.04->0.0401 (worse val_bpb vs best 87faa61 1.084914)
dfb39b1	1.097945	11.4	discard	x0_lambdas init 0.1->0.095 (worse val_bpb vs best 87faa61 1.084914)
987f7d2	1.088672	11.4	discard	RoPE base 10100->10090 micro-tune (worse val_bpb vs best 87faa61 1.084914)
5e54c0c	1.194903	11.4	discard	RoPE base 10100->10105 (much worse val_bpb; ~170 steps/300s slow run vs ~353 ref)
29dad21	1.100296	12.8	discard	HEAD_DIM 128->96 (576d 6 heads; worse val_bpb vs 87faa61 1.084914)
f50f700	1.122192	12.5	discard	HEAD_DIM 128->80 (560d 7 heads; worse val_bpb vs 87faa61 1.084914)
1c89250	1.088094	11.4	discard	RMSNorm F.rms_norm eps=1e-5 (worse val_bpb vs 87faa61 1.084914)
06d5e6c	1.087909	11.4	discard	Muon late momentum 0.95->0.948 (worse val_bpb vs 87faa61 1.084914)
48ccc53	1.099271	11.4	discard	x0_lambdas init 0.1->0.102 (worse val_bpb vs 87faa61 1.084914)
4b366dd	1.099271	11.4	discard	WEIGHT_DECAY 0.2->0.198 (worse val_bpb vs 87faa61 1.084914)
1edd178	1.088026	11.4	discard	VALUE_EMBEDDING_LR 0.765 for value_embeds only (worse vs 87faa61 1.084914)
439fdda	1.087833	11.4	discard	VALUE_EMBEDDING_LR 0.72 for value_embeds only (worse vs 87faa61 1.084914)
ae6684d	1.087994	11.4	discard	WARMDOWN_RATIO 0.5->0.55 (worse val_bpb vs 87faa61 1.084914)
071efca	1.093465	11.4	discard	VE gate scale 2.0->1.97 (worse val_bpb vs 87faa61 1.084914)
5f519cd	1.087902	11.4	discard	VE gate scale 2.0->2.03 (worse val_bpb vs 87faa61 1.084914)
38a06fb	1.087677	11.4	discard	resid_lambdas Adam LR 1%->1.1% of scalar_lr (worse vs 87faa61 1.084914)
aa8f92b	1.087896	11.4	discard	resid_lambdas Adam LR 1%->0.9% of scalar_lr (worse vs 87faa61 1.084914)
ba10b7b	1.090225	6.0	discard	DEVICE_BATCH_SIZE 32->16 same TOTAL_BATCH_SIZE grad_accum 16 (worse val_bpb vs 87faa61 1.084914)
8a3b929	1.087971	11.4	discard	x0_lambdas Adam beta1 0.96->0.958 (worse vs 87faa61 1.084914)
631175d	1.086144	11.4	discard	AdamW WD 0.01 on wte/value_embeds only (worse val_bpb vs 87faa61 1.084914)
7f6cdbb	1.087838	11.4	discard	AdamW WD 0.01 on lm_head only (worse val_bpb vs 87faa61 1.084914)
b5d127c	1.088020	11.4	discard	MATRIX_LR 0.04->0.040015 (worse val_bpb vs 87faa61 1.084914)
0158481	1.091472	11.4	discard	SCALAR_LR 0.45->0.4508 (worse val_bpb vs 87faa61 1.084914)
65ba5a3	1.088919	11.4	discard	Muon weight_decay constant (no decay to 0; worse vs best 87faa61 1.084914)
5ba2d7a	1.088526	11.4	discard	Muon WD linear decay with 25% floor at end (worse vs best 87faa61 1.084914)
fc86ead	1.088401	11.4	discard	Adam beta2 0.95->0.951 (worse val_bpb vs 87faa61 1.084914)
effc491	1.088048	11.4	discard	Adam beta2 0.95->0.9502 (worse val_bpb vs 87faa61 1.084914)
3e759b0	1.088048	11.4	discard	MATRIX_LR 0.04->0.0403 (worse val_bpb vs 87faa61 1.084914)
d496e7b	1.089011	11.4	discard	lm_head init std 0.001->0.0012 (worse val_bpb vs 87faa61 1.084914)
28b1bf3	1.089011	11.4	discard	Adam beta2 0.95->0.949 (worse val_bpb vs 87faa61 1.084914; 351 steps)
0996058	1.089011	11.4	discard	torch.compile reduce-overhead (same val/steps as prior runs; worse vs 87faa61 1.084914)
7d4979a	1.087326	11.4	discard	QK RMSNorm before RoPE instead of after (worse val_bpb vs 87faa61 1.084914)
4b93b1c	1.088087	11.4	discard	MATRIX_LR 0.04->0.04003 micro (worse val_bpb vs best 87faa61 1.084914)
99012d8	1.087984	11.4	discard	SCALAR_LR 0.45->0.451 micro (worse val_bpb vs best 87faa61 1.084914)
22b6247	1.088281	11.4	discard	EMBEDDING_LR 0.75->0.749 micro (worse val_bpb vs best 87faa61 1.084914)
81782e5	1.088261	11.4	discard	Adam beta1 0.8->0.802 (worse val_bpb vs best 87faa61 1.084914)
b029707	1.088261	11.4	discard	WARMDOWN_RATIO 0.5->0.49 (worse val_bpb vs best 87faa61 1.084914; ~352 steps)
108ca26	1.087912	11.4	discard	VE gate channels 44->42 (worse val_bpb vs best 87faa61 1.084914; ~351 steps)
183d72b	1.087764	11.4	discard	UNEMBEDDING_LR 0.004->0.00410 (worse val_bpb vs best 87faa61 1.084914; ~352 steps)
897e59b	1.088072	11.4	discard	WARMDOWN_RATIO 0.5->0.52 (worse val_bpb vs best 87faa61 1.084914)
69b7ca2	1.088345	11.4	discard	EMBEDDING_LR 0.75->0.755 (worse val_bpb vs best 87faa61 1.084914; ~352 steps)
64bd3e0	1.169910	14.1	discard	HEAD_DIM 100 -> 600d/6h (worse val_bpb vs best 87faa61 1.084914)
138ca27	1.089879	11.4	discard	WARMDOWN_RATIO 0.5->0.51 (worse val_bpb vs best 87faa61 1.084914)
23b9049	0.000000	0.0	crash	torch.compile max-autotune: autotune wall time excessive; killed incomplete (session timeout)
aa148e2	1.100269	11.4	discard	x0_lambdas init 0.1->0.099 (worse val_bpb vs best 87faa61 1.084914)
805bdcb	1.100269	11.4	discard	x0_lambdas init 0.1->0.101 (same/worse val_bpb vs best 87faa61 1.084914; ~351 steps)
b0298b8	1.088320	11.4	discard	EMBEDDING_LR 0.75->0.753 (worse val_bpb vs best 87faa61 1.084914)
6f3e9c7	1.087877	11.4	discard	MATRIX_LR 0.04->0.03998 (worse val_bpb vs best 87faa61 1.084914)
a7ae8b5	1.087860	11.4	discard	UNEMBEDDING_LR 0.004->0.00399 (worse val_bpb vs best 87faa61 1.084914)
b914570	1.088178	11.4	discard	matmul precision high->medium (worse val_bpb vs best 87faa61 1.084914)
06eae18	1.088178	11.4	discard	CUDA matmul/cudnn allow_tf32 True (worse val_bpb vs best 87faa61 1.084914)
24ea047	1.090797	11.4	discard	RoPE base 10000->10015 (GPTConfig.rope_base; verified run_rope15.log; worse vs 87faa61 1.084914)
bb2031f	1.090947	11.4	discard	MATRIX_LR 0.04->0.0406 (worse val_bpb vs 87faa61 1.084914)
d38be4a	1.091699	11.4	discard	Adam beta1 0.8->0.799 (worse val_bpb vs 87faa61 1.084914)
3ab2164	1.092356	11.4	discard	RoPE base 10000->9950 (GPTConfig.rope_base; full run run_rope9950b.log)
d91bc46	1.094586	11.4	discard	lm_head init std 0.001->0.00105 (worse vs best 87faa61 1.084914)
c75f140	1.092447	11.4	discard	AdamW WD 0.005 on wte+value_embeds (worse vs 87faa61 1.084914)
7de5efa	1.092447	11.4	discard	lm_head bias True zeros init (same val_bpb as prev run; worse vs 87faa61 1.084914)
719bf0c	1.093950	11.4	discard	WARMDOWN_RATIO 0.5->0.47 (worse vs 87faa61 1.084914)
edf5b20	1.095038	11.4	discard	SCALAR_LR 0.45->0.449 micro-tune (worse vs 87faa61 1.084914)
defe094	1.096965	11.4	discard	MATRIX_LR 0.04->0.03995 (worse vs 87faa61 1.084914)
2af8eb3	1.096157	11.4	discard	MATRIX_LR 0.04->0.04002 micro bump (worse vs 87faa61 1.084914)
8dda99e	1.150076	11.4	discard	Adam beta1 0.8->0.7985 (worse val_bpb vs 87faa61 1.084914)
bf5e71a	0.000000	0.0	crash	UNEMBEDDING_LR 0.004->0.00397 run interrupted (no val_bpb in log; duplicate train procs cleaned)
919de56	1.114167	14.1	discard	ASPECT_RATIO 64->72 (d_model 640, 5 heads x 128; worse val_bpb vs 87faa61 1.084914)
09cdbcf	1.094700	11.4	discard	RoPE base 10000->10003 (GPTConfig.rope_base; worse vs best 87faa61 1.084914)
bb016e7	1.091742	10.9	discard	MLP FFN mult 4.0->3.5 (350 steps/300s; worse val_bpb vs best 87faa61 1.084914)
283da8f	1.111302	11.4	discard	MLP ReLU^2 -> GELU tanh approx (worse val_bpb vs best 87faa61 1.084914)
75467e5	1.093429	11.4	discard	AdamW WD 0.002 on wte+value_embeds only (worse val_bpb vs 87faa61 1.084914)
a1b16c2	1.094512	11.4	discard	Muon MATRIX_LR 0.04 -> 0.04035 (worse val_bpb vs 87faa61 1.084914)
52f71e0	0.000000	0.0	crash	learnable RMSNorm: train loss stuck at ln(V) with torch.compile (no real learning)
9c2d2bf	1.093068	11.4	discard	revert to 87faa61-identical train.py; val worse than TSV best 1.084914 (336 steps)
e15cd82	0.000000	0.0	crash	MATRIX_LR 0.04->0.0412 run interrupted (session timeout/duplicate train procs; reset to 87faa61)
15d72d9	1.088200	11.4	discard	Muon MLP_MATRIX_LR 0.0395 vs attn MATRIX_LR 0.04 (worse val_bpb vs best 87faa61 1.084914)
08a6786	1.087921	11.4	discard	Muon ATTN_MATRIX_LR 0.0398, MLP 0.04 (worse val_bpb vs best 87faa61 1.084914)
002614e	1.089948	11.4	discard	ve_gate AdamW VE_GATE_ADAM_LR 0.025*dmodel_scale vs Muon (worse val_bpb vs best 87faa61 1.084914)
fd196a2	1.090415	11.4	discard	FINAL_LR_FRAC 0->0.06 warmdown floor (worse vs 87faa61 1.084914)
6d73c9c	1.090415	11.4	discard	softcap 15->14 (worse vs best 87faa61 1.084914)
15c0084	1.089054	11.4	discard	WARMDOWN_RATIO 0.5->0.55 (worse vs best 87faa61 1.084914)
be41b64	1.092832	12.8	discard	DEPTH 9 + ASPECT_RATIO 56 (512d 4h); worse val_bpb vs 87faa61 1.084914
4cae239	1.089197	11.7	discard	MLP FFN 4.0x->4.25x embd (worse val_bpb vs 87faa61 1.084914)
a49a0f6	1.092427	11.4	discard	MLP FFN 4x -> 3.92x MLP_MULT (worse val_bpb vs 87faa61 1.084914)
56a0229	1.091329	11.4	discard	VE_GATE_SCALE 2.0->1.995 (worse val_bpb vs best 87faa61 1.084914)
4f883ca	1.091436	11.4	discard	VE_GATE_SCALE 2.0->2.005 (worse val_bpb vs best 87faa61 1.084914)
b9ed7e4	1.088779	11.4	discard	MATRIX_LR 0.04->0.04008 micro bump (worse val_bpb vs best 87faa61 1.084914)
47da67d	1.129211	11.4	discard	MATRIX_LR 0.04->0.0399 micro (Muon interp); worse val_bpb vs best 87faa61 1.084914
093d9f6	1.184745	11.4	discard	MATRIX_LR 0.04->0.0401 micro bump (worse val_bpb vs best 87faa61 1.084914)
