commit	val_bpb	memory_gb	status	description	delta	strategy	rationale
30f6908	1.294359	24.4	discard	RoPE base 8000; skip negative step dt in time budget	1.000	BREAK	δ=1.0 S=1 RR=1 ID=0 θg=0.3 θb=0.7; worse vs best 1.131210; reset 8625c38
18b8b5b	1.291981	24.4	discard	UNEMBEDDING_LR 0.004 to 0.0032	1.000	BREAK	δ=1.0 k=10 S=RR=1 ID=0; unemb LR lower hurt vs best 1.131210; reset 8625c38
2bbce1c	1.281735	24.4	discard	WARMDOWN_RATIO 0.5 to 0.55	1.000	BREAK	iter30 meso k=10 all discard; earlier warmdown hurt vs best 1.131210; reset 8625c38
8cc00c7	0.000000	0.0	crash	EMBEDDING_LR 0.6 to 0.65	1.000	BREAK	run ended ~step183 no val_bpb; wall clock skew negative dt broke time budget; reset 8625c38
f41b9ed	1.487131	33.1	discard	DEPTH 11 ASPECT_RATIO 47 (640-dim 5-head, not 512)	1.000	BREAK	δ=1.0 S=1 RR=1 ID=0 θg=0.3 θb=0.7; val_bpb worse vs best 1.131210; reset a92b9d3
0213b68	1.183822	27.9	discard	DEPTH 11 ASPECT_RATIO 35 true 512-dim 4-head	1.000	BREAK	δ=1.0 k=10 all fail; 11L deeper same width worse vs best 1.131210; reset a92b9d3
ba62203	1.176548	26.1	discard	DEPTH 10 ASPECT_RATIO 40 512-dim 4-head	1.000	BREAK	δ=1.0; 10L between 9/11 worse vs best 1.131210; reset a92b9d3
ebd8e19	1.159723	24.4	discard	Muon momentum ramp 300 to 150 steps	1.000	BREAK	δ=1.0; faster Muon mom schedule worse vs best 1.131210; reset a92b9d3
7d6e262	1.160731	24.4	discard	WINDOW_PATTERN SLSS vs SSSL	1.000	BREAK	δ=1.0; SLSS attention windows worse vs best 1.131210; reset a92b9d3
0fcba72	1.158458	24.4	discard	WARMDOWN_RATIO 0.5 to 0.45	1.000	BREAK	δ=1.0 S=1 RR=1 ID=0; longer full-LR plateau; val_bpb worse vs best 1.131210; reset a92b9d3
5676ee3	1.160455	24.4	discard	RoPE base 10000 to 10500 (ROPE_BASE)	1.000	BREAK	δ=1.0; mild RoPE stretch; val_bpb worse vs best 1.131210; reset a92b9d3
6f2c0a0	1.163981	24.4	discard	ADAM_BETAS beta1 0.8 to 0.85	1.000	BREAK	δ=1.0; stabler Adam moments; val_bpb worse vs best 1.131210; reset a92b9d3
a2eb19c	1.205632	24.4	discard	x0_lambdas init 0.1 to 0.12	1.000	BREAK	δ=1.0; stronger x0 residual mix; val_bpb worse vs best 1.131210; reset a92b9d3
9cac45f	2.651732	24.3	discard	tie lm_head.weight to wte; blend tied Adam LR	1.000	BREAK	δ=1.0 S=RR=1 ID=0 θg=0.3 θb=0.7; weight tying + retie after to_empty; val_bpb catastrophic vs best 1.131210; reset a92b9d3
83b7665	1.177084	24.4	discard	train-only LABEL_SMOOTHING 0.05 in CE	1.000	BREAK	δ=1.0 k=10; smoothing in train only eval CE unsmoothed; worse vs best 1.131210; reset a92b9d3
0edc786	1.167426	24.9	discard	residual dropout 0.05 after attn and MLP	1.000	BREAK	δ=1.0 S=RR=1 ID=0 θg=0.3 θb=0.7; sublayer dropout regularization; val_bpb worse vs best 1.131210; reset a92b9d3
51bd13c	1.160875	24.4	discard	global grad clip L2 norm 1.0 before step	1.000	BREAK	δ=1.0 k=10 all discard; clip_grad_norm_ on all params; val_bpb worse vs best 1.131210; reset a92b9d3
67df66f	1.192127	28.6	discard	ASPECT_RATIO 58 bumps width to 640-dim 5-head	1.000	BREAK	δ=1.0 θg=0.3 θb=0.7; rounding→640 hurt vs best 1.131210; reset a92b9d3
7013fe3	1.584019	24.4	discard	ROPE_BASE 9800 (runtime global in _precompute)	1.000	BREAK	δ=1.0 k=10; val_bpb catastrophic vs best 1.131210 (check GPU contention); reset a92b9d3
b119cf5	1.162662	23.8	discard	GQA n_kv_head half (4Q/2KV) DEPTH9	1.000	BREAK	δ=1.0 S=RR=1 ID=0; val_bpb 1.162662 vs best keep 1.131210; reset a92b9d3
e758377	1.141093	19.9	discard	MLP ReLU-squared to SiLU	1.000	BREAK	δ=1.0 k=10; SiLU val_bpb 1.141093 vs best keep 1.131210; reset a92b9d3
880454f	0.000000	0.0	crash	cudnn.benchmark True fixed shapes	1.000	BREAK	no val_bpb in run.log; training interrupted before completion (executor time limit); reset a92b9d3
ADAPT	0.000000	0.0	adapt	parameter adaptation at iter 50	0.000	ADAPT	θ_guard: 0.3→0.3; θ_break: 0.7→0.7; δ-cell sample sizes mostly under 3 per interval; thresholds unchanged
3a5a305	1.160711	24.4	discard	WINDOW_PATTERN LSSS vs SSSL (full attention earlier in cycle)	1.000	BREAK	δ=1.0 k=10 S=RR=1 ID=0; LSSS val_bpb 1.160711 vs best 1.131210; reset a92b9d3
95ceb00	1.084929	12.8	keep	torch.compile(model) dynamic=False ~2x step throughput	1.000	BREAK	δ=1.0 k=10; compile drops dt ~1750→920ms; val_bpb 1.084929 vs prior best 1.131210; advance
ec40abd	1.084975	12.8	discard	SIMPLIFY compact prints; inline WD; drop asdict	0.498	SIMPLIFY	θg≤δ=0.498≤θb; −10 LOC; val_bpb 1.084975 vs best 1.084929; reset 95ceb00
b2be6db	1.085030	12.8	discard	init_block_weights; single-pass block init	0.692	SIMPLIFY	δ≈0.692 θg≤δ≤θb; val_bpb 1.085030 vs best 1.084929; reset 95ceb00
b3298d3	1.084941	12.8	discard	merge get_lr/get_muon_momentum/get_wd into training_schedules	0.692	SIMPLIFY	δ≈0.692; val_bpb 1.084941 vs best 1.084929; reset 95ceb00
434e067	1.159220	12.8	discard	SIMPLIFY one-line param counts; drop unused startup_time	0.498	SIMPLIFY	δ=0.498 mid-band; val_bpb worse vs best 1.084929 (5090 run); reset 95ceb00
46cf460	1.086106	12.8	discard	ROPE_BASE 10125 vs default 10000	0.498	BREAK	SIMPLIFY-escape forced BREAK; val_bpb 1.086106 vs best 1.084929; reset 95ceb00
6f5874f	1.088806	12.8	discard	Muon polar-express ns_steps 5 to 4	0.920	BREAK	δ=0.92>θb; val_bpb 1.088806 vs best 1.084929; reset 95ceb00
fa902d7	1.096710	11.6	discard	drop post-RoPE Q/K RMSNorm before attention	0.920	BREAK	δ=0.92>θb; val_bpb 1.096710 vs best 1.084929; reset 95ceb00
c3e0cc9	1.082202	11.4	keep	DEPTH 9 to 8 same 512-dim (ASPECT_RATIO 56)	0.920	BREAK	δ=0.92>θb; fewer layers more steps; val_bpb 1.082202 vs prior best 1.084929; advance
66f028e	1.328378	16.9	discard	DEVICE_BATCH_SIZE 48 + TOTAL_BATCH_SIZE 589824	0.840	BREAK	δ=0.84>θb; micro-batch 48 + ~12pct larger global batch; val_bpb worse vs best 1.082202; reset c3e0cc9
829b7c4	1.081457	11.4	keep	Muon polar-express ns_steps 5 to 6 (extra coeff row)	0.840	BREAK	δ=0.84>θb; stronger Muon orthogonalization; val_bpb 1.081457 vs prior best 1.082202; advance
336e507	1.084816	12.5	discard	MLP FFN expansion 4x to 5x	0.840	BREAK	δ=0.84>θb; val_bpb 1.084816 vs best 1.081457; reset 829b7c4
e6d1a55	1.088401	11.4	discard	WARMUP_RATIO 0 to 0.02	0.840	BREAK	δ=0.84>θb; 2pct LR warmup hurt vs best 1.081457; reset 829b7c4
af98b5e	1.081179	11.4	keep	SIMPLIFY merge LR/Muon/WD into training_schedules; drop dead startup_time	0.640	SIMPLIFY	δ=0.64 in [θg,θb]; val_bpb 1.081179 vs prior best 1.081457; advance
73ee9df	1.081139	11.4	keep	BREAK MATRIX_LR 0.04 to 0.041 (Muon)	0.745	BREAK	δ≈0.745>θb=0.7; val_bpb 1.081139 vs best 1.081179; advance
74727a8	1.081154	11.4	discard	SIMPLIFY remove verbose parameter breakdown print	0.667	SIMPLIFY	θg≤δ≤θb; val_bpb 1.081154 vs best 1.081139; reset 73ee9df
6800826	1.080884	11.4	keep	SIMPLIFY docstring compact headers drop model-config print	0.675	SIMPLIFY	θg≤δ≤θb; val_bpb 1.080884 vs prior best 1.081139; advance
b3cedd7	1.081317	11.4	discard	SIMPLIFY compact GPT/optimizer/train banners; drop AdamW LR scale print	0.595	SIMPLIFY	θg≤δ≈0.595≤θb; val_bpb worse vs best 1.080884; reset 6800826
4998b71	1.181400	11.4	discard	SIMPLIFY trim prints; one-line n_params and budget summary	0.587	SIMPLIFY	δ=0.587 in band; val_bpb 1.181400 vs best 1.080884; reset 6800826
77d9f17	1.082536	11.6	discard	SwiGLU MLP (8/3 hidden) replacing ReLU-squared	0.674	BREAK	δ=0.674 SIMPLIFY-escape forced BREAK; val_bpb 1.082536 vs best 1.080884; reset 6800826
17e5a19	0.000000	0.0	crash	SIMPLIFY compact num_scaling_params (run interrupted ~step75)	0.674	SIMPLIFY	δ mid-band; no val_bpb; reset 6800826
a297f6d	1.082064	11.4	discard	Muon momentum ramp terminal 0.95 to 0.96	0.760	BREAK	δ=0.76>θb=0.7; val_bpb worse vs best 1.080884; reset 6800826
0669352	1.081295	11.4	discard	EMBEDDING_LR 0.6 to 0.58	0.760	BREAK	δ=0.76>θb; lower Adam emb LR hurt vs best 1.080884; reset 6800826
8367232	1.080777	11.4	keep	MATRIX_LR 0.041 to 0.042 (Muon)	0.760	BREAK	δ=0.76>θb; val_bpb improved vs prior best 1.080884; advance
44902f8	1.086036	11.0	discard	GQA n_kv_head half (depth8)	0.758	BREAK	δ≈0.758>θb; val_bpb 1.086036 vs best keep 1.080777; reset 8367232
7023a83	1.080400	11.4	keep	BREAK logits softcap 15 to 12	0.837	BREAK	δ≈0.837>θb; val_bpb 1.080400 improved vs best 1.080777; advance
4ceb933	1.139497	11.4	discard	TOTAL_BATCH_SIZE 2**19 to 2**20	0.760	BREAK	δ=0.76>θb; ~1M tok/step hurt vs best 1.080400; reset 7023a83
da8bf80	1.079437	11.4	keep	BREAK logits softcap 12 to 10	0.840	BREAK	δ=0.84>θb; val_bpb 1.079437 improved vs best 1.080400; advance
4c10d8f	1.079437	11.4	discard	BREAK logits softcap 10 to 9	0.840	BREAK	equal val_bpb vs best 1.079437; no advance; reset da8bf80
77f3db8	1.079437	11.4	discard	MATRIX_LR 0.042 to 0.0425	0.760	BREAK	equal val_bpb vs best 1.079437; reset da8bf80
fe68982	1.079437	11.4	discard	Muon momentum ramp 300 to 260 steps	0.760	BREAK	equal val_bpb vs best 1.079437; reset da8bf80
d823165	1.146466	11.4	discard	WARMDOWN_RATIO 0.5 to 0.43 (longer full-LR plateau)	0.749	BREAK	δ=0.749>θb; val_bpb 1.146466 vs best 1.079437; reset da8bf80
91662ba	1.179146	11.4	discard	FINAL_LR_FRAC 0 to 0.06 (warmdown LR floor)	0.749	BREAK	δ≈0.749>θb; val_bpb 1.179146 vs best 1.079437; reset da8bf80
5cd0178	2.845419	11.4	discard	BREAK tie wte to lm_head (F.linear); single Adam group	0.760	BREAK	δ=0.76>θ_break; weight tying hurt val_bpb vs best 1.079437; reset da8bf80
1c29421	1.088528	13.4	discard	BREAK train-only label smoothing 0.03 (eval CE via self.training)	0.840	BREAK	δ=0.84>θb; val_bpb 1.088528 vs best 1.079437; reset da8bf80
86b9d36	1.083944	11.9	discard	BREAK residual dropout 0.05 on attn/mlp sublayers	0.840	BREAK	δ=0.84>θb; val_bpb 1.083944 vs best 1.079437; reset da8bf80
bc065b5	1.080966	11.7	discard	BREAK attention output dropout 0.05 after c_proj	0.920	BREAK	δ=0.92>θb=0.7; val_bpb 1.080966 vs best 1.079437; reset da8bf80
7cb5f76	1.087355	11.5	discard	BREAK token embedding dropout 0.05 after wte	0.920	BREAK	δ=0.92; val_bpb 1.087355 vs best 1.079437; reset da8bf80
8258307	1.080625	6.0	discard	BREAK DEVICE_BATCH_SIZE 32 to 16 (grad_accum 8 to 16)	0.920	BREAK	δ=0.92>θb; val_bpb 1.080625 vs best 1.079437; reset da8bf80
2a0b6e2	1.075396	11.4	keep	BREAK TOTAL_BATCH_SIZE 524288 to 458752 (7 grad accum)	1.000	BREAK	δ=1.0 k=10; single-GPU run completed after killing duplicate train procs; val_bpb 1.075396 vs prior best 1.079437; advance
e3fc5d9	1.075510	11.4	discard	BREAK Muon momentum ramp step/300 to step/285	0.760	BREAK	δ≈0.76>θb=0.7; val_bpb 1.075510 vs best 1.075396; reset 2a0b6e2
6a7dcbb	1.083620	12.8	discard	BREAK DEPTH 8 to 9 512-dim same batch compile	0.920	BREAK	δ=0.92>θb=0.7; 9L val_bpb 1.083620 vs best 1.075396; reset 2a0b6e2
90225e3	1.071528	11.4	keep	BREAK TOTAL_BATCH_SIZE 458752 to 393216 (6 grad accum)	0.920	BREAK	δ=0.92>θb; val_bpb 1.071528 vs prior best 1.075396; advance
fae9771	1.160375	11.4	discard	BREAK TOTAL_BATCH_SIZE 393216 to 327680 (5 grad accum)	0.740	BREAK	δ≈0.74>θb; val_bpb 1.160375 vs best 1.071528; reset 90225e3
87d9f5e	1.076466	11.4	discard	BREAK cosine LR warmdown (half-cosine vs linear)	0.840	BREAK	δ=0.84>θb=0.7; val_bpb 1.076466 vs best 1.071528; reset 90225e3
db720ad	1.071387	11.4	keep	BREAK EMBEDDING_LR 0.6 to 0.63 (Adam wte/VE)	0.840	BREAK	δ=0.84>θb; val_bpb 1.071387 improved vs prior best 1.071528; advance
f86a107	1.071419	11.4	discard	BREAK EMBEDDING_LR 0.63 to 0.645 (Adam wte/VE)	0.760	BREAK	δ=0.76>θb=0.7; val_bpb 1.071419 vs best 1.071387; reset db720ad
8bc75e7	1.071479	11.4	discard	BREAK MATRIX_LR 0.042 to 0.0423 (Muon)	0.760	BREAK	δ=0.76>θb; Muon LR nudge; val_bpb 1.071479 vs best 1.071387; reset db720ad
bf4b916	1.071632	11.4	discard	BREAK UNEMBEDDING_LR 0.004 to 0.0043 (lm_head Adam)	0.760	BREAK	δ=0.76>θb; higher unemb LR; val_bpb 1.071632 vs best 1.071387; reset db720ad
1706a00	1.071621	11.4	discard	BREAK RoPE base 10000 to 10200 (GPTConfig.rope_base)	0.760	BREAK	δ=0.76>θb; mild RoPE stretch; val_bpb 1.071621 vs best 1.071387; reset db720ad
ADAPT	0.000000	0.0	adapt	parameter adaptation at iter 100	0.000	ADAPT	θ_guard: 0.3→0.3; θ_break: 0.7→0.7; δ-buckets lack ≥3 samples for stable GUARD vs BREAK comparison; thresholds unchanged
0f5167e	1.073373	12.8	discard	BREAK DEVICE_BATCH_SIZE 36 TOTAL_BATCH 442368 (6 accum)	0.840	BREAK	δ=0.84>θb=0.7; larger microbatch+global batch; val_bpb 1.073373 vs best 1.071387; reset db720ad
7bdc2fb	1.071500	11.4	discard	BREAK WEIGHT_DECAY 0.2 to 0.18 (Muon)	0.840	BREAK	δ=0.84>θb; mid WD between 0.14 discard and 0.2; val_bpb 1.071500 vs best 1.071387; reset db720ad
5541ceb	1.069760	8.7	keep	BREAK DEVICE_BATCH_SIZE 32 to 24 (8 grad accum)	0.785	BREAK	δ=0.785>θ_break; same global batch; val_bpb 1.069760 vs prior best 1.071387; advance
bf712ab	1.082736	22.3	discard	BREAK DEVICE_BATCH_SIZE 24 to 64 (3 grad accum)	0.814	BREAK	δ=0.814>θ_break; val_bpb 1.082736 vs best 1.069760; reset 5541ceb
7b7a077	1.076561	16.9	discard	BREAK DEVICE_BATCH 24 to 48 (4 grad accum)	0.814	BREAK	δ=0.814>θ_break; val_bpb 1.076561 vs best 1.069760; reset 5541ceb
5c96bcc	1.070096	8.7	discard	BREAK WINDOW_PATTERN SSSL to SSLL	0.814	BREAK	δ=0.814>θ_break; val_bpb 1.070096 vs best 1.069760; reset 5541ceb
0c02b43	1.078557	10.3	discard	BREAK MLP ReLU^2 to SwiGLU (w1/w2 SiLU gate)	0.883	BREAK	δ≈0.883>θ_break; val_bpb 1.078557 vs best 1.069760; reset 5541ceb
f2fd081	1.078557	10.3	discard	BREAK logits softcap 10 to 12	0.883	BREAK	δ≈0.883; val_bpb 1.078557 vs best 1.069760; reset 5541ceb
e8b3f81	1.069757	8.7	keep	BREAK cudnn.benchmark True (fixed-shape steps)	0.883	BREAK	δ≈0.883; val_bpb 1.069757 vs prior best 1.069760; advance
591a172	1.070862	8.7	discard	BREAK clip_grad_norm 1.0 global before step	0.815	BREAK	δ≈0.815>θ_break=0.7; val_bpb 1.070862 vs best 1.069757; meso@110: grad clip discarded; reset e8b3f81
ce88681	0.000000	0.0	crash	BREAK CUDA/cudnn allow_tf32 matmul flags	0.815	BREAK	δ=0.8146>θb=0.7 k=10; run.log truncated mid-train (~step73) executor timeout no val_bpb; reset e8b3f81
93042d6	1.109886	8.7	discard	BREAK TOTAL_BATCH_SIZE 393216 to 344064 (7 grad accum)	0.815	BREAK	δ≈0.815>θb=0.7; setsid run complete; val_bpb 1.109886 vs best 1.069757; reset e8b3f81
5dc463e	1.069332	8.7	keep	BREAK logits softcap 10 to 11 (tanh cap)	0.815	BREAK	δ≈0.815>θb=0.7; val_bpb 1.069332 vs prior best 1.069757; advance
1a8bf0b	1.078263	8.0	discard	BREAK parallel residual shared pre-norm for attn and MLP	0.833	BREAK	δ=0.833>θb=0.7 k=10 S=0.8 RR=0.8 ID≈0.038; parallel block worse vs best 1.069332; reset 5dc463e
7d4c512	1.078263	8.0	discard	BREAK Adam beta1 0.8 to 0.75 (AdamW)	0.833	BREAK	δ≈0.833>θb; val_bpb 1.078263 vs best 1.069332; reset 5dc463e
f24c1d8	1.069556	8.7	discard	BREAK PaLM-style z-loss on logits (1e-4, train mean CE only)	0.833	BREAK	δ≈0.833>θb=0.7; val_bpb 1.069556 vs best 1.069332; reset 5dc463e
6fe743c	1.072359	8.7	discard	BREAK Adam beta2 0.95 to 0.98 (AdamW)	0.833	BREAK	δ≈0.833>θb; val_bpb 1.072359 vs best 1.069332; reset 5dc463e
cd15df0	1.123611	8.7	discard	BREAK Muon WD floor max(0.2,1-progress) late-run nonzero WD	0.840	BREAK	δ=0.84>θb=0.7; val_bpb 1.123611 vs best 1.069332; reset 5dc463e
926e3ff	1.068702	8.7	keep	BREAK AdamW beta2 0.95 to 0.93 (AdamW second moment)	0.840	BREAK	δ=0.84>θb=0.7; val_bpb 1.068702 improved vs prior best 1.069332; advance
b1d40e5	0.000000	0.0	crash	BREAK AdamW beta2 0.93 to 0.91 (faster second-moment decay)	0.822	BREAK	δ=0.822>θb=0.7; run interrupted before val_bpb (executor wall); reset 926e3ff
04a5aef	1.068716	8.7	discard	BREAK AdamW beta2 0.93 to 0.91 (retry completed)	0.822	BREAK	δ=0.822>θb=0.7; val_bpb 1.068716 vs best 1.068702; reset 926e3ff
1877d21	1.069120	8.7	discard	BREAK Muon MATRIX_LR 0.042 to 0.0418	0.822	BREAK	δ≈0.822>θb=0.7; val_bpb 1.069120 vs best 1.068702; reset 926e3ff
b4dfcae	1.069949	8.7	discard	BREAK Muon MATRIX_LR 0.042 to 0.0422	0.840	BREAK	δ=0.84>θb=0.7; val_bpb 1.069949 vs best 1.068702; run_mlr0422_done.log; reset 926e3ff
38c7a68	1.068641	8.7	keep	BREAK SCALAR_LR 0.5 to 0.52 (Adam resid/x0)	0.920	BREAK	δ=0.92>θb=0.7; val_bpb 1.068641 improved vs best 1.068702; advance
e9fe0c3	1.068177	8.7	keep	BREAK GPTConfig.rope_base=10080 (mild RoPE stretch for 2k ctx)	0.827	BREAK	δ=0.827>θb=0.7 S=0.8 RR=0.8 ID≈0.064 θg=0.3 θb=0.7; val_bpb improved vs 1.068641; advance
e7e0694	1.068042	8.7	keep	BREAK LOGIT_SOFTCAP 10.5 on lm logits (was 11)	0.745	BREAK	δ=0.745>θb=0.7 S=0.7 RR=0.7 ID≈0.075 θg=0.3 θb=0.7; val_bpb improved vs 1.068177; advance
c83d92d	1.138366	8.7	discard	SIMPLIFY strip section banners, optimizer debug prints, inline hparams	0.680	SIMPLIFY	θg≤δ=0.68≤θb; S=RR=0.6 ID=0 ΔC≈-7.9%; val_bpb 1.138 vs best 1.068042; reset e7e0694
3992116	1.068214	8.7	discard	SIMPLIFY remove GPT/Optimizer/Train loop banner comments only	0.680	SIMPLIFY	θg≤δ=0.68≤θb; val_bpb 1.068214 vs best 1.068042; reset e7e0694
d67bd4b	1.068167	8.7	discard	SIMPLIFY strip section banners/comments; drop Adam LR scale print; compact hparams block	0.680	SIMPLIFY	δ=0.68 θg=0.3 θb=0.7; LOC 623→577 ΔC<0; val_bpb 1.068167 vs best 1.068042; reset e7e0694
8fcee55	1.068334	8.7	discard	BREAK AdamW beta1 0.8 to 0.82	0.760	BREAK	δ=0.76>θb=0.7 + SIMPLIFY-escape; val_bpb 1.068334 vs best 1.068042; reset e7e0694
417ad52	0.000000	0.0	crash	BREAK TOTAL_BATCH_SIZE 393216 to 442368 (9 grad accum)	0.748	BREAK	δ=0.748>θb; run interrupted before val_bpb (executor timeout ~step62); reset e7e0694
783bcf5	1.149417	8.7	discard	BREAK enable CUDA matmul and cudnn TF32 flags	0.760	BREAK	δ≈0.76>θb=0.7; TF32 val_bpb worse vs best 1.068042; reset e7e0694
72340b2	1.068323	8.7	discard	BREAK torch.compile model fullgraph=True	0.760	BREAK	δ≈0.76>θb; val_bpb 1.068323 vs best 1.068042; reset e7e0694
69391cb	1.074019	8.7	discard	BREAK MLP-first block (FFN before attention per layer)	0.751	BREAK	δ=0.751>θb=0.7; val_bpb worse vs best 1.068042; reset e7e0694
a4b188c	1.068166	8.7	discard	BREAK LOGIT_SOFTCAP 10.5 to 10.0	0.828	BREAK	δ=0.828>θb=0.7; val_bpb 1.068166 vs best 1.068042; reset e7e0694
d53ee3a	1.154390	8.7	discard	BREAK WINDOW_PATTERN SSSL to SLSL	0.914	BREAK	δ≈0.91>θb=0.7; val_bpb ~1.154 vs best 1.068042; reset e7e0694
8fde131	1.070715	7.7	discard	BREAK narrower 448-dim ASPECT_RATIO 55 HEAD_DIM 112	1.000	BREAK	δ=1.0 S=1 RR=1 ID=0 θg=0.3 θb=0.7; val_bpb 1.070715 vs best 1.068042; reset e7e0694
6fcd51d	1.070648	8.7	discard	BREAK Muon polar-express ns_steps 6 to 5	1.000	BREAK	δ=1.0 k=10 S=RR=1 ID=0 θg=0.3 θb=0.7; val_bpb 1.070648 vs best keep 1.068042; reset e7e0694
853996e	1.068477	8.7	discard	BREAK Muon polar-express ns_steps 6 to 7	1.000	BREAK	δ=1.0 k=10; ns_steps=7 val_bpb 1.068477 vs best 1.068042; reset e7e0694
a7e4c21	1.068222	8.7	discard	BREAK LOGIT_SOFTCAP 10.5 to 10.35	1.000	BREAK	δ=1.0 S=1 RR=1 ID=0 θg=0.3 θb=0.7; val_bpb 1.068222 vs best 1.068042; reset e7e0694
8c7556b	0.000000	0.0	crash	BREAK SCALAR_LR 0.52 to 0.56	1.000	BREAK	δ=1.0; run.log stops ~step123 no val_bpb proc gone; reset e7e0694
c16e39e	1.147517	10.2	discard	BREAK CE label_smoothing 0.02 in cross_entropy	1.000	BREAK	δ=1.0 S=RR=1 ID=0 θg=0.3 θb=0.7; val_bpb 1.147517 vs best 1.068042; reset e7e0694
