commit	val_bpb	memory_gb	status	description	delta	strategy	rationale
ADAPT	0.000000	0.0	adapt	parameter adaptation at iter 50	0.000	ADAPT	θ_guard: 0.300→0.300; θ_break: 0.700→0.700; δ-bucket cells mostly <3 points or mixed labels; no robust GUARD/BREAK crossover; clamp unchanged
84b31e5	1.097402	22.3	discard	RoPE inverse-frequency base 53500 to 53800	0.749	BREAK	δ>θ_break; val_bpb worse vs best 1.096922 (91b6d49); training_seconds 300.1; reset to 91b6d49
ac6ca8a	1.097090	22.3	discard	Muon momentum ramp step/400 to step/450	0.831	BREAK	δ>θ_break; val_bpb worse vs best 1.096922; training_seconds 300.0; reset to 91b6d49
e3a49f1	1.097365	22.3	discard	SIMPLIFY section headers; trim docstrings; drop unused startup_time	0.640	SIMPLIFY	θ_guard≤δ≤θ_break; no numeric change; val_bpb worse vs best 1.096922 (91b6d49); training_seconds 300.3; reset 91b6d49
f1b3de7	1.097354	22.3	discard	SIMPLIFY print param_counts as one dict line	0.640	SIMPLIFY	θ_guard≤δ≤θ_break; val_bpb worse vs best 1.096922; training_seconds 300.8; reset 91b6d49
57204d1	1.097632	22.3	discard	Muon MATRIX_LR 0.045 to 0.044	0.831	BREAK	delta=0.831>theta_break; val_bpb worse vs best 1.096922; training_seconds 300.1; reset 721c99b
bcdd501	1.097427	22.3	discard	RoPE base 53500 to 53350	0.910	BREAK	delta~0.91>theta_break; val_bpb worse vs best 1.096922; training_seconds 300.0; reset 721c99b
92d8514	1.097298	22.3	discard	Muon MATRIX_LR 0.045 to 0.0455	0.911	BREAK	delta~0.91>theta_break; val_bpb worse vs best 1.096922; training_seconds 300.1; reset 721c99b
84b6a5e	1.097780	22.3	discard	RoPE base 53500 to 53600	1.000	BREAK	delta=1.0>theta_break; val_bpb worse vs best 1.096922; training_seconds 300.3; reset 721c99b
59431e0	1.121277	22.3	discard	UNEMBEDDING_LR 0.004 to 0.0042	1.000	BREAK	δ=1.0>θ_break; optimizer-only lm-head AdamW LR; val_bpb worse vs best 1.096922 (91b6d49); training_seconds 300.2; reset 721c99b
aa6a5a1	1.096950	22.3	discard	Muon momentum ramp step/400 to step/410	1.000	BREAK	δ=1.0>θ_break; schedule-only; val_bpb 1.096950 vs best 1.096922 (91b6d49); training_seconds 300.1; reset 721c99b
fe93b74	1.097078	22.3	discard	RoPE inverse-frequency base 53500 to 53480	1.000	BREAK	δ=1.0>θ_break; small RoPE nudge; val_bpb worse vs best 1.096922; training_seconds 300.0; reset 721c99b
8674eb0	1.098207	22.3	discard	WARMDOWN_RATIO 0.5 to 0.55 (longer LR decay tail)	1.000	BREAK	δ=1.0>θ_break; schedule-only; val_bpb worse vs best 1.096922 (91b6d49); training_seconds 300.8; reset 721c99b
b8e16f0	1.097532	22.3	discard	Muon momentum ramp step/400 to step/385	1.000	BREAK	δ=1.0>θ_break; schedule-only; val_bpb worse vs 1.096922; training_seconds 300.0; reset 721c99b
32abc4a	1.097532	22.3	discard	SCALAR_LR 0.5 to 0.52 (resid/x0 AdamW)	1.000	BREAK	δ=1.0>θ_break; optimizer-only; val_bpb not better vs 1.096922; training_seconds 300.0; reset 721c99b
ba0ad5a	1.096906	22.3	keep	GRAD_CLIP_NORM 1.0 to 1.08	1.000	BREAK	δ=1.0>θ_break; val_bpb improved vs best 1.096922 (91b6d49); training_seconds 300.0
4b50216	1.097281	22.3	discard	GRAD_CLIP_NORM 1.08 to 1.12	0.920	BREAK	δ≈0.92>θ_break; val_bpb worse vs best 1.096906; training_seconds 300.1; reset ba0ad5a
d7fdb6f	1.101208	22.3	discard	Muon polar-express ns_steps 5 to 4	0.920	BREAK	δ≈0.92>θ_break; val_bpb worse vs best 1.096906; training_seconds 300.5; reset ba0ad5a
f2ed8f0	1.101208	22.3	discard	UNEMBEDDING_LR 0.004 to 0.0038	0.920	BREAK	δ≈0.92>θ_break; val_bpb worse vs best 1.096906; training_seconds 300.5; reset ba0ad5a
e707161	1.097222	22.3	discard	WARMDOWN_RATIO 0.5 to 0.45	0.920	BREAK	δ≈0.92>θ_break; val_bpb worse vs best 1.096906; training_seconds 300.1; reset ba0ad5a
f11ef66	1.096862	22.3	keep	Muon momentum ramp step/400 to step/500	0.920	BREAK	δ≈0.92>θ_break; slower rise to Muon β=0.95; val_bpb improved vs 1.096906 (ba0ad5a); training_seconds 300.7
9f7ff40	1.099396	22.3	discard	init x0_lambdas 0.10 to 0.11 (residual x0 mix)	0.920	BREAK	δ≈0.92>θ_break; val_bpb worse vs best 1.096862 (f11ef66); training_seconds 300.0; reset f11ef66
a6e98ec	1.097147	22.3	discard	Muon momentum ramp step/500 to step/550	0.840	BREAK	δ=0.84>θ_break; val_bpb worse vs best 1.096862; training_seconds 300.1; reset f11ef66
a833159	1.096007	22.3	keep	FINAL_LR_FRAC 0 to 0.02 (warmdown LR floor)	0.840	BREAK	δ=0.84>θ_break; val_bpb improved vs best 1.096862 (f11ef66); training_seconds 300.1
00b6d67	1.096823	22.3	discard	Muon polar-express ns_steps 5 to 6 (+duplicate PE coeff)	0.750	BREAK	delta=0.750>theta_break; val_bpb worse vs best 1.096007 (a833159); training_seconds 300.2
9529dc8	1.096823	22.3	discard	cosine LR decay in warmdown tail (vs linear to FINAL_LR_FRAC)	0.750	BREAK	delta=0.750>theta_break; val_bpb worse vs best 1.096007 (a833159); training_seconds 300.2
9a79f11	1.095922	22.3	keep	Muon WD sqrt schedule sqrt(1-p) vs linear (1-p)	0.825	BREAK	δ≈0.825>θ_break; val_bpb improved vs best 1.096007 (a833159); training_seconds 300.4
523ecbb	1.095705	22.3	keep	WARMDOWN_RATIO 0.5 to 0.47 (longer full-LR plateau)	0.722	BREAK	δ≈0.722>θ_break; val_bpb improved vs best 1.095922 (9a79f11); training_seconds 300.2
08d7377	1.095896	22.3	discard	SIMPLIFY compact module header/imports (no numeric change)	0.662	SIMPLIFY	θ_guard≤δ≤θ_break; val_bpb worse vs best 1.095705 (523ecbb); training_seconds 300.4; reset 523ecbb
ba5e754	1.095622	22.3	keep	SIMPLIFY one-line param_counts; shorter section banners	0.662	SIMPLIFY	θ_guard≤δ≤θ_break; val_bpb improved vs best 1.095705 (523ecbb); training_seconds 300.8
9b51bf0	1.096026	22.3	discard	SIMPLIFY remove unused startup_time assignment	0.590	SIMPLIFY	δ=0.590 θ_guard≤δ≤θ_break; no train behavior change; val_bpb worse vs best 1.095622 (ba5e754); training_seconds 300.1
f04c8a8	1.095964	22.3	discard	SIMPLIFY one-line module docstring (no train change)	0.668	SIMPLIFY	θ_guard≤δ≤θ_break; δ=0.668 S=RR=0.6 ID=0.06; val_bpb worse vs best 1.095622 (ba5e754); training_seconds 300.3; reset ba5e754
9aec2b3	1.095528	22.3	keep	FINAL_LR_FRAC 0.02 to 0.03 (warmdown floor)	0.668	BREAK	SIMPLIFY escape (3x SIMPLIFY discard); δ≈0.668; val_bpb improved vs best 1.095622 (ba5e754); training_seconds 300.0
7a9576f	1.095528	22.3	discard	SIMPLIFY drop unused startup_time assignment	0.589	SIMPLIFY	θ_guard≤δ≤θ_break; val_bpb tied best 1.095528 (9aec2b3); equal→reset per protocol; training_seconds 300.0
222783e	1.095528	22.3	discard	WARMDOWN_RATIO 0.47 to 0.46	0.600	BREAK	SIMPLIFY escape (3x SIMPLIFY discard); val_bpb tied best 1.095528; equal→reset; training_seconds 300.0
32c658e	1.095782	22.3	discard	SIMPLIFY remove unused startup_time line	0.680	SIMPLIFY	θ_guard≤δ≤θ_break (δ=0.68 S=RR=0.6 ID=0); val_bpb worse vs best 1.095528 (9aec2b3); training_seconds 300.1; reset 9aec2b3
bf7aed9	1.096106	22.3	discard	SIMPLIFY merge time-budget and grad_accum prints	0.680	SIMPLIFY	θ_guard≤δ≤θ_break; val_bpb worse vs best 1.095528; training_seconds 300.1; reset 9aec2b3
87639a1	1.095382	22.3	keep	Muon momentum ramp step/500 to step/480	0.760	BREAK	δ>θ_break(0.7); schedule-only; val_bpb improved vs best 1.095528 (9aec2b3); training_seconds 300.8
9561810	1.098421	22.3	discard	WARMUP_RATIO 0.02 (2pct wall LR ramp)	0.755	BREAK	δ>θ_break; val_bpb worse vs best 1.095382 (87639a1); training_seconds 300.0
f376530	1.095518	22.3	discard	Muon momentum ramp step/480 to step/460	0.755	BREAK	δ>θ_break; val_bpb worse vs best 1.095382 (87639a1); training_seconds 300.2
54175d8	1.095789	22.3	discard	WARMDOWN_RATIO 0.47 to 0.48 (longer LR decay tail)	0.835	BREAK	δ≈0.835>θ_break; val_bpb worse vs best 1.095382 (87639a1); training_seconds 300.7
412fc1c	1.095789	22.3	discard	Muon momentum ramp step/480 to step/520 (slower rise)	0.835	BREAK	δ≈0.835>θ_break; val_bpb worse vs best 1.095382 (87639a1); training_seconds 300.7
76df353	1.095645	22.3	discard	FINAL_LR_FRAC 0.03 to 0.028 (lower warmdown floor)	0.835	BREAK	δ=0.835>θ_break; val_bpb worse vs best 1.095382 (87639a1); training_seconds 300.8
ea1f347	1.095556	22.3	discard	FINAL_LR_FRAC 0.03 to 0.035 (higher warmdown floor)	0.914	BREAK	δ≈0.914>θ_break; val_bpb worse vs best 1.095382 (87639a1); training_seconds 300.1
33749f7	1.095531	22.3	discard	RoPE inverse-frequency base 53500 to 53650	0.914	BREAK	δ≈0.914>θ_break; val_bpb worse vs best 1.095382 (87639a1); training_seconds 300.1
24bd53b	1.095760	22.3	discard	FINAL_LR_FRAC 0.03 to 0.029	0.914	BREAK	δ≈0.914>θ_break; val_bpb worse vs best 1.095382 (87639a1); training_seconds 300.2
a5e9f13	1.095594	22.3	discard	Muon momentum ramp step/480 to step/490	0.914	BREAK	δ≈0.91>θ_break; val_bpb worse vs best 1.095382 (87639a1); training_seconds 300.3
b2ed484	1.095753	22.3	discard	Muon momentum ramp step/480 to step/475	0.914	BREAK	δ>θ_break(0.7); bracket 460-480; val_bpb worse vs best 1.095382 (87639a1); training_seconds 300.1; reset 87639a1
35a4725	1.095753	22.3	discard	WARMDOWN_RATIO 0.47 to 0.465 (full LR to progress<0.535)	0.914	BREAK	δ>θ_break; schedule-only; val_bpb 1.095753 vs best 1.095382 (87639a1); training_seconds 300.1; reset 87639a1
ce72479	1.095753	22.3	discard	MATRIX_LR 0.045 to 0.0445	1.000	BREAK	δ=1.0 (last10 all discard); val_bpb vs best 1.095382 (87639a1); training_seconds 300.1; reset 87639a1
ADAPT	0.000000	0.0	adapt	parameter adaptation at iter 100	0.000	ADAPT	θ_guard: 0.300→0.300; θ_break: 0.700→0.700; buckets [0.8,1.0] BREAK n=56 succ=0.161; [0.6,0.8) BREAK n=17 succ=0.235; [0,0.2) GUARD n=5 succ=0.6; no bucket with GUARD and BREAK both ≥3 for crossover; clamp unchanged
7e1fdff	1.096587	22.3	discard	RoPE inverse-frequency base 53500 to 53200	1.000	BREAK	δ=1.0>θ_break; val_bpb worse vs best 1.095382 (87639a1); training_seconds 300.1; reset 87639a1
2567247	1.095517	22.3	discard	Muon momentum ramp step/480 to step/490 (slower beta rise)	1.000	BREAK	δ=1.0>θ_break; val_bpb worse vs best 1.095382 (87639a1); training_seconds 300.1; reset 87639a1
b612880	1.095886	22.3	discard	WEIGHT_DECAY 0.2 to 0.195 (Muon WD base)	1.000	BREAK	δ=1.0>θ_break; val_bpb worse vs best 1.095382 (87639a1); training_seconds 300.2; reset 87639a1
91e1435	1.095990	22.3	discard	Muon momentum initial beta 0.85 to 0.86 (ramp step/480)	1.000	BREAK	δ=1.0>θ_break; val_bpb worse vs best 1.095382 (87639a1); training_seconds 300.2; reset 87639a1
789c299	1.095184	22.3	keep	ADAM_BETAS beta1 0.8 to 0.78 (AdamW groups)	1.000	BREAK	δ=1.0 (S=RR=1.0 ID=0); val_bpb improved vs 1.095382 (87639a1); training_seconds 300.8
c1e098f	1.095279	22.3	discard	ADAM_BETAS beta2 0.95 to 0.94 (with beta1 0.78)	1.000	BREAK	δ=1.0>θ_break; val_bpb worse vs best 1.095184 (789c299); training_seconds 300.6
d26a600	1.095467	22.3	discard	ADAM_BETAS beta2 0.95 to 0.96 (beta1 0.78)	0.911	BREAK	δ≈0.911>θ_break; val_bpb worse vs best 1.095184 (789c299); training_seconds 300.1
5da70ef	1.095251	22.3	discard	Muon WD base WEIGHT_DECAY 0.2 to 0.198	0.911	BREAK	δ≈0.911>θ_break; val_bpb worse vs best 1.095184 (789c299); training_seconds 300.1
6d99e67	1.095836	22.3	discard	WARMDOWN_RATIO 0.47 to 0.45 (longer full-LR plateau)	0.911	BREAK	δ≈0.911>θ_break; val_bpb worse vs best 1.095184 (789c299); training_seconds 300.1; reset 789c299
5b6e608	1.096534	22.3	discard	EMBEDDING_LR 0.6 to 0.58 (AdamW embed/value groups)	0.911	BREAK	δ≈0.911>θ_break; val_bpb worse vs best 1.095184 (789c299); training_seconds 300.2; reset 789c299
1afc05a	1.095507	22.3	discard	Muon momentum ramp step/480 to step/500 (slower beta rise)	0.911	BREAK	δ≈0.911>θ_break; val_bpb worse vs best 1.095184 (789c299); training_seconds 300.1; reset 789c299
9d334b5	1.096035	22.3	discard	EMBEDDING_LR 0.6 to 0.62 (AdamW embed/value)	0.911	BREAK	δ≈0.911>θ_break; val_bpb worse vs best 1.095184 (789c299); training_seconds 300.1; reset 789c299
521f08f	1.095328	22.3	discard	UNEMBEDDING_LR 0.004 to 0.00385 (lm-head AdamW)	0.911	BREAK	δ>θ_break; val_bpb worse vs best 1.095184 (789c299); training_seconds 300.0; reset 789c299
fc51002	1.095328	22.3	discard	ADAM_BETAS beta1 0.78 to 0.775	0.911	BREAK	δ>θ_break; val_bpb worse vs best 1.095184 (789c299); training_seconds 300.0; reset 789c299
928138b	1.095328	22.3	discard	MATRIX_LR 0.045 to 0.0453 (Muon)	0.911	BREAK	δ>θ_break; val_bpb worse vs best 1.095184 (789c299); training_seconds 300.0; reset 789c299
8b0ccb8	1.096142	22.3	discard	GRAD_CLIP_NORM 1.08 to 1.0	0.911	BREAK	δ>θ_break; val_bpb worse vs best 1.095184 (789c299); training_seconds 300.1; reset 789c299
479ebdd	1.095512	22.3	discard	UNEMBEDDING_LR 0.004 to 0.0041 (lm-head AdamW)	0.911	BREAK	δ>θ_break; val_bpb worse vs best 1.095184 (789c299); training_seconds 300.1; reset 789c299
e3712b3	1.095278	22.3	discard	ADAM_BETAS beta1 0.78 to 0.785	1.000	BREAK	δ=1.0>θ_break; val_bpb worse vs best 1.095184 (789c299); training_seconds 300.2; reset 789c299
bcb99c6	1.095754	22.3	discard	Muon MATRIX_LR 0.045 to 0.0448	1.000	BREAK	δ=1.0>θ_break; val_bpb worse vs best 1.095184 (789c299); training_seconds 300.5; reset 789c299
72189c1	1.095647	22.3	discard	ADAM_BETAS beta1 0.78 to 0.77	1.000	BREAK	δ=1.0>θ_break; val_bpb worse vs best 1.095184 (789c299); training_seconds 300.2
8cb2718	1.096349	22.3	discard	SCALAR_LR 0.5 to 0.49 (resid/x0 AdamW)	1.000	BREAK	δ=1.0>θ_break; val_bpb worse vs best 1.095184 (789c299); training_seconds 300.2
7e99b86	1.095183	22.3	keep	VALUE_EMBEDDING_LR 0.55 vs EMBEDDING_LR 0.6 (split AdamW)	1.000	BREAK	δ=1.0>θ_break; optimizer-only; val_bpb improved vs 1.095184 (789c299); training_seconds 300.8
a6f8b1e	1.095373	22.3	discard	VALUE_EMBEDDING_LR 0.55 to 0.565	0.920	BREAK	δ≈0.92>θ_break; val_bpb worse vs best 1.095183 (7e99b86); training_seconds 300.1; reset 7e99b86
cd39fe3	1.095319	22.3	discard	VALUE_EMBEDDING_LR 0.55 to 0.545	0.920	BREAK	δ≈0.92>θ_break; val_bpb worse vs best 1.095183 (7e99b86); training_seconds 300.3; reset 7e99b86
ca28d7e	1.095848	22.3	discard	ROPE_BASE 53500 to 53700	0.920	BREAK	δ≈0.92>θ_break; val_bpb worse vs best 1.095183 (7e99b86); training_seconds 300.2; reset 7e99b86
3fa51d0	1.095457	22.3	discard	GRAD_CLIP_NORM 1.08 to 1.09	0.920	BREAK	δ=0.920>θ_break; val_bpb worse vs best 1.095183 (7e99b86); training_seconds 300.1; reset 7e99b86
4211c54	1.095501	22.3	discard	MATRIX_LR 0.045 to 0.0451	0.920	BREAK	δ=0.920>θ_break; val_bpb worse vs best 1.095183 (7e99b86); training_seconds 300.0; reset 7e99b86
0ef8cf5	1.094961	22.3	keep	FINAL_LR_FRAC 0.03 to 0.031	0.920	BREAK	δ=0.92>θ_break; warmdown LR floor tweak; val_bpb improved vs 1.095183 (7e99b86); training_seconds 300.1
81c9e0f	1.094849	22.3	keep	FINAL_LR_FRAC 0.031 to 0.0315	0.840	BREAK	δ=0.84>θ_break; continue warmdown-floor BREAK; val_bpb improved vs 1.094961 (0ef8cf5); training_seconds 300.1
359a366	1.095243	22.3	discard	WARMDOWN_RATIO 0.47 to 0.43 (longer full-LR plateau)	0.754	BREAK	δ=0.754>θ_break(0.7); val_bpb worse vs best 1.094849 (81c9e0f); training_seconds 300.8	
8b8257f	1.095349	22.3	discard	FINAL_LR_FRAC 0.0315 to 0.032 (warmdown floor)	0.754	BREAK	δ>θ_break; val_bpb worse vs best 1.094849 (81c9e0f); training_seconds 300.2; reset 81c9e0f
2560ce4	1.095646	22.3	discard	FINAL_LR_FRAC 0.0315 to 0.0311 (lower warmdown floor)	0.754	BREAK	δ>θ_break; val_bpb worse vs best 1.094849 (81c9e0f); training_seconds 300.8; reset 81c9e0f
9da08d3	1.105662	22.3	discard	HEAD_DIM 128 to 64 (8 heads, same n_embd)	0.833	BREAK	δ=0.833>θ_break(0.7); attn head-geometry BREAK; val_bpb worse vs best 1.094849 (81c9e0f); training_seconds~300; reset 81c9e0f
cc7cb32	1.098444	22.3	discard	LOGIT_SOFTCAP 15 to 22 (global tanh cap)	0.833	BREAK	δ>θ_break; looser logit softcap; val_bpb worse vs best 1.094849 (81c9e0f); peak_vram~22.3GB; reset 81c9e0f
5675493	1.709603	22.3	discard	ve_gate_channels 32 to 48 (value-embed gate input dim)	0.920	BREAK	δ>θ_break; overlapping train.py jobs on one GPU → 54 steps MFU~2pct val_bpb meaningless vs best 1.094849; git reset 81c9e0f
0d00994	1.095240	22.3	discard	FINAL_LR_FRAC 0.0315 to 0.0316 (warmdown floor)	0.831	BREAK	δ≈0.83>θ_break(0.7); val_bpb worse vs best 1.094849 (81c9e0f); training_seconds 300.1; single-GPU run after clearing duplicate jobs; reset 81c9e0f
379c21a	1.095365	22.3	discard	Muon momentum ramp step/480 to step/430 (faster beta rise)	0.831	BREAK	δ=0.831>θ_break(0.7); val_bpb worse vs best 1.094849 (81c9e0f); training_seconds 300.2; reset 81c9e0f
