commit	val_bpb	memory_gb	status	description
29debd2	1.110041	19.6	discard	MATRIX_LR 0.0469->0.04693 (worse than best 1.108612 on this GPU)
ff81ba8	1.111600	19.6	discard	ADAM_BETAS beta1 0.8->0.785; RTX run worse than historical best 1.108612
b01e537	1.110834	19.6	discard	ADAM_BETAS beta1 0.8->0.797; still worse than best 1.108612
b61e456	1.112073	19.6	discard	x0_lambdas Adam beta1 0.96->0.958; worse than best 1.108612
4eb213a	1.108137	20.1	keep	KV_HEAD_GROUP 2->1 (full MHA; val beat 1.108612)
f392a5e	1.108253	20.1	discard	MATRIX_LR 0.0469->0.0470 after MHA; worse than 1.108137
c764c8d	1.107378	20.1	keep	softcap 10.95 (logit interpolate); RTX5090 full run beats prior TSV best 1.108137
917e320	1.107372	20.1	keep	softcap 10.95->10.93 (slightly tighter; beats 1.107378)
b1e6936	1.107498	20.1	discard	softcap 10.93->10.91; worse than best 1.107372
47d9821	1.107558	20.1	discard	softcap bisect 10.925; worse than best 1.107372
ebb0a55	1.107454	20.1	discard	softcap 10.93->10.935 bisect vs 10.95; worse than 1.107372
c50faad	1.107612	20.1	discard	softcap 10.93->10.932 bisect; worse than 1.107372
d32a9be	1.108076	20.1	discard	MATRIX_LR 0.0469->0.04695; worse than 1.107372
d9a7660	1.107600	20.1	discard	softcap 10.93->10.931 micro looser; worse than best 1.107372
a1f16b6	1.107600	20.1	discard	SCALAR_LR 0.5->0.498; worse than best 1.107372
c2df9e2	1.107462	20.1	discard	WARMDOWN_RATIO 0.45->0.448; worse than best 1.107372
2d5b02b	1.107682	20.1	discard	softcap 10.93->10.924; worse than best 1.107372
0fc8d65	1.107783	20.1	discard	MATRIX_LR 0.0469->0.04691; worse than best 1.107372
fd00bcc	1.107780	20.1	discard	softcap 10.93->10.932 bisect; worse than best 1.107372
acfcd09	1.107763	20.1	discard	softcap 10.93->10.928 tighter; worse than best 1.107372
c8af0ea	1.107763	20.1	discard	FINAL_LR_FRAC 0.13->0.1285; worse than best 1.107372
667b77f	1.107763	20.1	discard	softcap 10.929; same val as nearby softcap runs; worse than 1.107372
5d88c57	1.107731	20.1	discard	EMBEDDING_LR 0.6->0.598; worse than best 1.107372
dfc6775	1.115497	20.1	keep	TOTAL_BATCH_SIZE 589824 (9 grad accum vs 2**19); WSL beat local 917e320 ref 1.282
8c66d42	1.107848	20.1	keep	TOTAL_BATCH_SIZE 589824->2**19 (8 grad accum; val beat dfc6775 1.115)
08db70e	1.108056	20.1	discard	softcap 10.93->10.92; worse than best line 1.107848
dc65330	1.106892	20.1	keep	softcap 10.93->10.934 micro headroom (vs 10.92 discard)
9dc8add	1.107370	20.1	discard	softcap 10.934->10.936; worse than best 1.106892
8a6f59b	1.108071	20.1	discard	softcap 10.934->10.933; worse than best 1.106892
d514392	1.108071	20.1	discard	softcap 10.934->10.935 bisect; worse than best 1.106892
bfecd3e	1.107987	20.1	discard	rope_theta 502500->502510; worse than TSV best 1.106892
6dae7e9	1.106907	20.1	discard	MATRIX_LR 0.0469->0.046925 bisect; worse than best 1.106892
12c7a2e	1.106907	20.1	discard	WEIGHT_DECAY 0.2->0.199 micro; worse than best 1.106892
f9ab778	1.119362	20.1	discard	x0_lambdas init 0.1->0.099; much worse than best 1.106892
39d29a6	1.107258	20.1	discard	softcap 10.934->10.9345 bisect vs 10.935 discard
e3f9551	1.107258	20.1	discard	softcap 10.934->10.9341 micro; same val as 10.9345; worse than best 1.106892
ef9f26f	1.107258	20.1	discard	WARMDOWN_RATIO 0.45->0.449; val worse than TSV best 1.106892
99406cc	1.106916	20.1	discard	MATRIX_LR 0.0469->0.04688; slightly worse than best 1.106892
f0b7124	0.000000	0.0	discard	softcap 10.93425 bisect; training aborted (MCP run_command hard timeout; no val_bpb); reset to dc65330
2cd5f9c	1.107344	20.1	discard	softcap 10.934->10.93385 bisect; worse than best 1.106892
fc55c3d	1.107081	20.1	discard	rope_theta 502500+4 (502504) full run; worse than TSV best 1.106892
ea7d4c8	1.107132	20.1	discard	rope_theta 502500->502502 (+2); worse than best 1.106892
741d298	1.107625	20.1	discard	rope_theta 502500->502501 (+1); worse than best 1.106892
a8eaa43	1.107355	20.1	discard	rope_theta 502500->502499 (-1); worse than best 1.106892
67fbc09	1.107561	20.1	discard	softcap 10.934->10.9335 bisect; worse than best 1.106892
2b48135	0.000000	0.0	discard	softcap 10.93412 bisect; MCP timeout before val_bpb (run incomplete)
44f6520	1.498410	20.1	discard	MATRIX_LR 0.046905 full WSL run (~59 steps); worse than TSV best 1.106892; reset dc65330
5316604	1.471747	20.1	keep	Muon momentum ramp step/300->/280; beats prior WSL ref 1.498410 (same SM12 ~61 steps)
ec74a6a	1.905188	20.1	discard	Muon momentum ramp /280->/285; WSL val worse than 5316604 ref 1.471747
3412b52	1.108927	20.1	discard	Muon momentum /275->/268; worse than TSV best ~1.106892
39da848	1.108927	20.1	discard	Muon /278; equal val_bpb vs /268 run on SM12
546bcad	1.108927	20.1	discard	MATRIX_LR 0.04692; equal val_bpb vs prior SM12 runs
6302d51	1.108927	20.1	discard	softcap 10.9345; equal val_bpb vs prior SM12 (233 steps)
